epoch,tcld_loss,ncld_loss,loc_cold,candidate_count,target_candidate_count,nontarget_candidate_count,tcld_terms,ncld_terms,candidate_iou_mean,candidate_iou_positive_count,effective_iwm_weight_mean
45,0.00085746939,0.0010354585,0.0014641922,24610.133,24610.133,49220.266,205.30719,271.85403,0,0,1
46,0.0008620671,0.0010426178,0.0014736523,24514.65,24514.65,49029.301,206.34204,272.12634,0,0,1
47,0.00088739226,0.0010728635,0.0015165592,24574.982,24574.982,49149.965,204.35294,271.22876,0,0,1
48,0.00088114053,0.001068001,0.0015085718,24075.145,24075.145,48150.289,203.7843,270.10239,0,0,1
49,0.00084634189,0.0010214014,0.0014445733,24251.105,24251.105,48502.211,202.29411,270.01743,0,0,1
50,0.00080725487,0.00097149739,0.0013751249,23610.885,23610.885,47221.77,201.08932,269.02612,0,0,1
51,0.00084184279,0.0010190184,0.0014399402,23341.229,23341.229,46682.457,198.76469,266.72766,0,0,1
52,0.00082149118,0.00099644309,0.0014071887,22796.271,22796.271,45592.543,201.65576,269.24182,0,0,1
53,0.00083275989,0.0010147539,0.0014311337,22901.867,22901.867,45803.734,202.83006,269.01959,0,0,1
54,0.00083632203,0.0010171706,0.0014353321,22962.938,22962.938,45925.875,202.88452,269.76251,0,0,1
55,0.00084776391,0.0010248512,0.0014487333,22808.422,22808.422,45616.844,201.31808,268.99347,0,0,1
56,0.00082952925,0.0010011492,0.0014159132,22566.018,22566.018,45132.035,202.25708,269.71893,0,0,1
57,0.00085137726,0.0010290197,0.0014547089,22211.102,22211.102,44422.203,203.78214,270.64487,0,0,1
58,0.00085999386,0.001034311,0.0014643079,21902.678,21902.678,43805.355,200.061,269.30719,0,0,1
59,0.00083711412,0.0010132828,0.0014318395,22234.777,22234.777,44469.555,201.74945,269.10675,0,0,1
60,0.00083534769,0.0010116582,0.0014293318,21623.727,21623.727,43247.453,201.91502,269.48801,0,0,1
61,0.00084057584,0.0010175399,0.0014378272,23053.736,23053.736,46107.473,204.4989,270.96732,0,0,1
62,0.00086428085,0.0010435422,0.0014756829,23001.051,23001.051,46002.102,203.14815,270.13071,0,0,1
63,0.00086745445,0.0010403559,0.001474084,22240.744,22240.744,44481.488,201.64923,270.14597,0,0,1
64,0.000857201,0.0010354506,0.0014640505,21590.557,21590.557,43181.113,199.62091,268.21567,0,0,1
65,0.00086452579,0.0010512654,0.0014835303,22014.389,22014.389,44028.777,201.96513,268.88016,0,0,1
66,0.000876604,0.0010623477,0.0015006487,21671.018,21671.018,43342.035,200.41612,268.44009,0,0,1
67,0.00089823554,0.0010838083,0.0015329256,23720.697,23720.697,47441.395,203.14378,270.44662,0,0,1
68,0.00088384026,0.0010680991,0.0015100192,23013.895,23013.895,46027.789,204.86928,270.91068,0,0,1
69,0.00087541883,0.0010598719,0.0014975808,22187.303,22187.303,44374.605,201.03922,269.1438,0,0,1
70,0.00086645078,0.0010473855,0.0014806108,21826.172,21826.172,43652.344,202.28322,269.49673,0,0,1
71,0.00085274898,0.0010252526,0.0014516279,21699.131,21699.131,43398.262,198.71024,268.2963,0,0,1
72,0.0008431623,0.0010185093,0.001440092,20824.162,20824.162,41648.324,202.65359,270.44879,0,0,1
73,0.0008854465,0.0010747872,0.0015175099,25325.262,25325.262,50650.523,204.6732,270.86057,0,0,1
74,0.00089777308,0.0010837715,0.001532658,26719.824,26719.824,53439.648,208.40958,274.31372,0,0,1
75,0.00089626247,0.0010806576,0.0015287887,27670.916,27670.916,55341.832,207.50108,273.48584,0,0,1
76,0.0009048733,0.0010968823,0.0015493188,27031.844,27031.844,54063.688,208.35947,273.13943,0,0,1
77,0.00087730394,0.0010601849,0.0014988374,24349.018,24349.018,48698.035,203.48366,271.38562,0,0,1
78,0.00084926002,0.0010238593,0.0014484898,23775.426,23775.426,47550.852,206.27014,272.51852,0,0,1
79,0.00086600293,0.0010406504,0.0014736521,24658.381,24658.381,49316.762,204.89978,272.28757,0,0,1
80,0.00086771551,0.0010495554,0.0014834137,23361.779,23361.779,46723.559,202.061,269.09149,0,0,1
81,0.00083015027,0.0010048936,0.0014199682,22353.945,22353.945,44707.891,201.35294,268.51416,0,0,1
82,0.00083593867,0.0010099643,0.0014279344,21769.201,21769.201,43538.402,200.00217,268.23746,0,0,1
83,0.00085921143,0.0010376311,0.0014672357,21566.865,21566.865,43133.73,199.02177,267.62961,0,0,1
84,0.00082462665,0.00099421875,0.0014065317,21158,21158,42316,199.32025,268.03485,0,0,1
85,0.00085000903,0.0010243802,0.0014493851,21087.742,21087.742,42175.484,199.41176,268.47495,0,0,1
86,0.00083179743,0.0010068348,0.0014227332,20549.129,20549.129,41098.258,197.89542,267.04358,0,0,1
87,0.00083601888,0.0010056198,0.001423629,20939.129,20939.129,41878.258,201.25272,269.74945,0,0,1
88,0.00081828487,0.00098753429,0.0013966769,20479.801,20479.801,40959.602,198.73203,267.58386,0,0,1
89,0.00083172123,0.0010068344,0.0014226947,20185.121,20185.121,40370.242,197.5817,266.63397,0,0,1
90,0.00085731019,0.0010307222,0.0014593774,20318.49,20318.49,40636.98,198.62962,268,0,0,1
91,0.00081936718,0.00098656642,0.0013962511,20104.91,20104.91,40209.82,198.26579,267.37036,0,0,1
92,0.00079683773,0.00095509668,0.001353516,19902.795,19902.795,39805.59,196.64488,266.61874,0,0,1
93,0.00081707601,0.00099015282,0.0013986898,20631.896,20631.896,41263.793,197.4575,265.88889,0,0,1
94,0.00085772824,0.0010381972,0.0014670609,21617.615,21617.615,43235.23,201.0305,268.99127,0,0,1
95,0.00083591987,0.0010055344,0.0014234943,21096.654,21096.654,42193.309,199.62527,268.32462,0,0,1
96,0.0008215956,0.00099093432,0.0014017327,20142.588,20142.588,40285.176,197.939,266.33551,0,0,1
97,0.00082198711,0.00099056959,0.0014015633,19556.299,19556.299,39112.598,197.36383,267.38779,0,0,1
98,0.00081105356,0.00097143662,0.0013769631,20121.744,20121.744,40243.488,199.08278,268.74509,0,0,1
99,0.00083949167,0.0010101503,0.0014298974,19647.463,19647.463,39294.926,198.14378,267.45099,0,0,1
100,0.00083740061,0.0010082778,0.0014269782,19622.568,19622.568,39245.137,194.73203,265.74509,0,0,1
101,0.00084270025,0.0010188244,0.0014401749,19094.746,19094.746,38189.492,194.69934,264.93463,0,0,1
102,0.00081574469,0.00098144833,0.0013893209,19008.986,19008.986,38017.973,194.48148,264.57733,0,0,1
103,0.00082436751,0.00099416147,0.0014063446,18922.783,18922.783,37845.566,194.48801,264.52505,0,0,1
104,0.00080634403,0.00097088917,0.001374061,19051.756,19051.756,38103.512,196.25272,266.00217,0,0,1
105,0.00083218404,0.00099704391,0.0014131354,19493.982,19493.982,38987.965,197.68192,267.70151,0,0,1
106,0.00087116822,0.0010503159,0.0014859007,20044.77,20044.77,40089.539,197.75816,266.86273,0,0,1
107,0.00082349009,0.00098763499,0.0013993795,19142.016,19142.016,38284.031,195.77342,265.70807,0,0,1
108,0.00080361636,0.00096623326,0.0013680417,19459.846,19459.846,38919.691,194.65359,264.74072,0,0,1
109,0.0008217853,0.0009905292,0.0014014217,18938.682,18938.682,37877.363,192.51851,262.17645,0,0,1
110,0.00082099269,0.00098791998,0.0013984162,18543.131,18543.131,37086.262,195.22003,265.4183,0,0,1
111,0.00079000572,0.00094428542,0.0013392885,18848.74,18848.74,37697.48,192.36819,263.91721,0,0,1
112,0.00080846861,0.00097038678,0.0013746211,18529.514,18529.514,37059.027,192.7843,264.00217,0,0,1
113,0.00080781948,0.00096970302,0.0013736136,19039.061,19039.061,38078.121,195.67537,265.79083,0,0,1
